round,group_id,sender,receiver,application-id,amount_send,asset_id_send,amount_received,asset_id_received
27138788,z6gYLZk0oJ4syt+Rr9txOle2csCfBJXfjaVzeCmEUeo=,TZ3U7KHVHWPM34BJKIWKSSBRNS3LDJGSLHY2DIZVP7EJV5OKOJ5ZJW76FA,ODS4OPMZZI7D7EXURIMZRS43F5OMO6SND2U53OOKKTE3XRXIKAXUNMQWUU,778663643,59077830,0,59077830,0
27138788,bMpAKafgiK5EDaA92KUM0z5jieLRRCNzhvSUH/UE7cY=,TZ3U7KHVHWPM34BJKIWKSSBRNS3LDJGSLHY2DIZVP7EJV5OKOJ5ZJW76FA,ODS4OPMZZI7D7EXURIMZRS43F5OMO6SND2U53OOKKTE3XRXIKAXUNMQWUU,778663643,59339092,0,59339092,0
27138798,fkFwKmq4b0NgarCjKhdTXJU5fBi1l7XfgAAm4hz6pxc=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,UXOJX6NJDGLJ3KALT3JYGGGXFPXJIKMWJZTXSLB2KAVY5O7WJHPA2B3HJE,1002541853,6001337,0,8682133559,393537671
27138798,K+oDzz0KPrKepMHwCiHLFIseTIpS+IMWeDtLTm7crRQ=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,100000000,0,28581466,312769
27138801,ol1BvpZTKmyCQpIuyjm4rPuhmH22td5xUawO14+nmdk=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,3503059,31566704,12199998,0
27138805,SQ0Wgws/MK6kXuCeKSiESkWJpIoTKjOzIUxpNpNxq24=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,266863299,0,76172156,31566704
27138805,zaBxGzABDNUOpcbQnmtUrJXoEaWPvdyWnhhZYBIsIK0=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,233136700,0,66522515,31566704
27138806,7/6j67N+mG0w2vW+ZpHrn60+/RXws9TGOgMb6Wn8jvM=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,UXOJX6NJDGLJ3KALT3JYGGGXFPXJIKMWJZTXSLB2KAVY5O7WJHPA2B3HJE,1002541853,8080085,0,11686282274,393537671
27138810,ucdJlVfDK5fOHP7yBEJDL6i8Rqe+eloxjr2uTbdSbpE=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,LTGRYWVYIHTMRBESAF6ZJA5JBXR5KPCC6S4T2GDPSEJ5ZHHPIDVDKUJSPE,662102761,9001337,0,118285878,452399768
27138819,q9b06ACSN63m8q8B4cBCqfnEY4JRTSfx+PoZ6Y+n0eo=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,686497,31566704,2391824,0
27138821,Y8uxCVa/Lcc2wZ+wWhZe6YL2qb3cHSqirHw58eNBW4U=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,97567,31566704,339932,0
27138821,Zo81iavJw6o2+TAkK14B6lFx2xt4D1s1s0MbTF3GVfk=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,UXOJX6NJDGLJ3KALT3JYGGGXFPXJIKMWJZTXSLB2KAVY5O7WJHPA2B3HJE,1002541853,48369208,0,71613755204,393537671
27138823,bEgwGWTaYG/pShT6TLUqtxPn9q6TGpVe8EEJIUzvL/s=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,65961,31566704,229798,0
27138838,eCaYTYSOeORj83dR7M7VuXUYhUgap6zlh0Rv7ypcOWM=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,142689718,31566704
27138838,WfB+b+Iik4LkBG2xR33qOBaQBmpD9vMa2Cn0ss7jVLg=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,142553141,31566704
27138838,8uyFfDuH41VOQat0ml1tCa3IaryARDNTElpChg7/nLk=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,142583319,31566704
27138838,5dUB75zVvdyrgS1KSy78qatZTmrhBTCwRcaIJE13DJA=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,LTGRYWVYIHTMRBESAF6ZJA5JBXR5KPCC6S4T2GDPSEJ5ZHHPIDVDKUJSPE,662102761,17001337,0,223306234,452399768
27138838,++SlYt3DrIORLw7FprI2Digr4UI1I16SNuv1U1CsOBY=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,IUEDOCRZG7PK57BTDQL3FHG74553DPUAQQ3ZHUVHJQFNZJJRNFVHDVPCGM,1002541853,2001337,0,67012,499213551
27138839,BaurtIKN60btO3IfZqeOtvTsFTvdTmMd0/flhEppPzA=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,142533918,31566704
27138839,o+7tcwowUBJ66w8RCSFESW0s+ql5Zk9yNlYPhq8BvIE=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,UXOJX6NJDGLJ3KALT3JYGGGXFPXJIKMWJZTXSLB2KAVY5O7WJHPA2B3HJE,1002541853,3080085,0,4554544241,393537671
27138844,JRv/+/0x5GGBG7uMuOOax39ti3lpEKF0nqVT1fB8EVk=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,100000000,0,28531637,312769
27138844,G3fUQyfZeI1rzwXxw14FPCJMQwDgK7kJ2Hd6R5C8H2E=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,826218,312769,2880889,0
27138844,kRu06XskYpgDnM2hZaiATm9yLqZfL/zGc8F90Gux9WU=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,548225,312769,1911492,0
27138845,6NqjDEGm++UqwlDMwamDPKxM1shH46A8N+HSgLS4vaI=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,142427664,31566704
27138845,JfiTCT6mdx8Fs84wsd86mgxkKrGqjJMVCXZ0vqgeqWk=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,142402629,31566704
27138845,yV+sC10q0pboeHm08BQ+4JphoHigvczgWo6JOJu6B8s=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,IWT4WOUKYQBCAO76UKWZ5E4CPIJVLBE5R3NX5QH3BXMTG34WU7ZCLJ4RVY,645869114,30080085,0,511274,386195940
27138845,RQJV9lpE5fkpK2JelnyWXyqM0w2DqRnuH8eOj5Fri34=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,40000000,0,11392079,31566704
27138845,fj0JWfTz7duehInL/p3qaGXIdWY1pz8PH1Bi8n7LEFc=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,36289200,0,10334963,31566704
27138845,zNF1jTkl7cPLsftjndXIpn2PpnzTmwieQK10Oztyv3A=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,423710800,0,120651292,31566704
27138845,13hUl1rO6Dde225m8LRgTXWmxDQ0Hwhj0NiDuWJGvEA=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,142310715,31566704
27138845,FRlCT7HSf8OAq/1dFYqrCEntRUbmAe0V689zkroFTyI=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,142329049,31566704
27138845,yRXQ1Lmbt+9KQuYeQ6w9BMsENGL/FoaI2c8U+Cu4eyY=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,X2YCX7P6MUEANKFOTTDXXKTAZFKKKYZ544W6TWFARGVRTEWQQNZP4BY7ZA,1002541853,7001337,0,423018728,27165954
27138845,34xZP14TrpGsZ9VTcy2qIWcqLVLbSJ02KEuGqt8p0yk=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,100000000,0,28484324,312769
27138846,0Vkuu4JBkGIrWLOEZal1iZpC5dbvERImFt6seI24Fms=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,4399783,31566704,15370717,0
27138846,dVRJDTjtUmcdosLtXTzf0erckTnsAtu/Tq0LxUcnEas=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,142279780,31566704
27138846,H3vSoPoA+Ajc9oGZdfqayoY6zaqavvs0KJ2OqKbg0Xo=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,292765600,0,83293954,31566704
27138846,SjW+pWFp1WfytC9pXbz/FeJ+FiZe8cB8bUAA+FR/ngs=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,207234400,0,58940283,31566704
27138846,87eQ8O6TnqHoStoTubfReDhMBQNKTkw0pypI8iRyOK8=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,142230537,31566704
27138847,26q4so7NnJ5ky5bCQ2g2Hldweu/YdsGGHFzHziHza4U=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,142205068,31566704
27138847,g9MBueteaLnacO0zXYrwMpaB3ki4an1FIFF98BbVXek=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,LTGRYWVYIHTMRBESAF6ZJA5JBXR5KPCC6S4T2GDPSEJ5ZHHPIDVDKUJSPE,662102761,13080085,0,171706857,452399768
27138847,j33S60KBDfZeEGQP1z4JsKUlgoAdUx3ka3KoQvwbiAs=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,142110015,31566704
